user_id,anime_id,rating
1,15451,10
1,20785,-1
4,17777,-1
5,1887,3
5,9220,5
5,13659,1
5,15451,1
5,17777,1
5,20785,1
6,16317,-1
7,1887,8
7,13659,7
7,15451,8
7,17777,7
9,1887,8
14,13659,7
17,4091,5
17,4107,7
17,13659,4
17,15451,7
17,19133,6
17,22123,5
17,32542,7
17,32735,-1
21,17777,6
21,22123,7
24,1887,7
25,13659,7
27,13659,9
27,15451,9
29,15451,8
30,10681,-1
31,10681,-1
31,13659,7
37,13659,8
38,15451,5
39,1887,10
39,13659,-1
39,32542,-1
41,15451,9
41,20785,8
43,15451,8
43,20785,10
46,20785,9
46,32542,9
47,1887,7
48,13659,9
50,971,7
51,167,8
52,15451,10
54,167,-1
54,4053,-1
54,13659,-1
54,15451,-1
54,17777,-1
54,20785,-1
54,22123,-1
57,5262,7
62,10681,10
64,1887,10
67,13659,-1
77,17777,8
80,13659,9
80,15451,10
80,16199,8
80,17777,9
89,14735,-1
93,15451,7
93,20785,9
95,1887,10
95,13659,10
98,1887,10
98,13659,-1
99,13659,3
102,167,8
102,1887,7
102,13659,9
104,15451,10
104,20785,9
106,22123,6
107,1887,7
107,5262,8
109,10681,7
111,1887,8
112,2148,6
120,1887,5
120,13659,9
120,15451,8
120,17777,-1
122,13659,8
123,5784,5
123,32542,7
126,15451,9
127,1887,5
127,5784,5
128,1887,9
130,13659,9
130,15451,9
134,5262,10
135,15451,8
139,4107,8
139,15451,4
139,20785,3
140,20785,9
143,1887,-1
145,17777,-1
145,20785,-1
147,32542,10
148,15451,7
149,10197,8
152,1887,5
153,13659,7
155,20785,6
158,167,7
159,5262,9
160,1887,8
160,3318,8
160,4107,9
160,5244,9
160,5262,8
163,15451,7
165,1887,6
166,15451,7
166,20785,8
167,1887,-1
170,13659,10
181,15451,10
182,15451,-1
183,167,7
183,13659,4
184,20785,7
185,2071,8
186,1887,7
189,1887,8
189,13659,7
189,15451,9
191,1887,9
191,13659,7
191,15451,8
192,5262,8
198,13659,-1
198,15451,-1
198,17777,-1
198,20785,-1
201,5684,-1
201,8141,7
201,10420,-1
201,10546,-1
201,10681,9
201,10770,-1
201,16419,-1
201,18653,-1
203,5262,-1
208,10702,6
208,22123,8
210,15451,10
210,20785,9
211,1887,7
214,15451,8
217,1887,7
219,17777,6
226,167,7
226,13659,8
226,15451,8
226,17777,7
226,20785,9
226,32542,8
228,15451,9
228,17777,7
228,20785,7
232,15451,-1
232,17777,8
233,13659,10
233,14735,10
233,17777,10
233,20785,10
235,20785,8
241,20785,8
242,4107,7
242,10197,-1
242,15451,7
243,10681,8
244,13659,10
244,15451,9
244,20785,9
244,32542,7
245,13659,4
245,15451,7
245,17777,7
245,32542,9
247,1887,8
248,1887,8
248,10934,5
248,13659,9
248,15451,9
248,20785,6
250,13659,7
250,15451,9
256,1887,8
256,13659,9
256,15451,8
259,1887,-1
261,13659,6
261,15451,7
261,20785,8
261,32542,8
263,15451,8
264,13659,6
267,2148,-1
268,13659,7
270,4107,-1
270,13659,-1
270,15451,-1
270,20785,8
271,1887,8
271,13659,9
271,16610,4
271,20785,7
271,22123,6
272,15451,9
272,17777,7
273,13659,6
273,15451,6
273,32542,5
276,1887,6
276,13659,9
278,5262,9
280,13659,7
280,19115,7
281,20785,-1
282,13659,9
282,15451,10
282,17777,9
282,20785,9
285,4107,-1
285,13659,-1
285,15451,-1
288,10934,7
288,15451,7
288,20785,10
293,13659,4
294,4107,8
294,8171,9
294,10934,7
294,13659,8
294,15451,8
296,4053,-1
296,4107,7
296,10681,-1
297,5262,8
298,32542,7
300,15451,10
301,1887,8
301,13659,8
301,20785,6
301,22123,7
302,1887,-1
303,15451,10
303,20785,9
304,2148,8
304,5784,7
308,5262,8
308,20785,10
310,10702,-1
314,15451,8
315,15451,9
317,5684,6
317,15451,8
317,16419,6
320,13659,7
320,15451,8
320,20785,8
321,13659,7
321,15451,9
321,17777,8
321,20785,9
321,32542,8
323,13659,7
325,15451,10
326,15451,8
326,20785,8
336,4107,-1
336,17777,5
337,5262,9
338,15451,-1
341,20785,6
342,3318,-1
342,13659,-1
342,15451,10
342,16199,6
342,17777,-1
342,20785,-1
