Store,Dept,Date,Weekly_Sales,IsHoliday
43,1,2010-02-05,6476.76,False
43,1,2010-02-12,18597.64,True
43,1,2010-02-19,9939.45,False
43,1,2010-02-26,6460.56,False
43,1,2010-03-05,6939.08,False
43,1,2010-03-12,7281.64,False
43,1,2010-03-19,7319.59,False
43,1,2010-03-26,6552.64,False
43,1,2010-04-02,14411.74,False
43,1,2010-04-09,10019.06,False
43,1,2010-04-16,6514.27,False
43,1,2010-04-23,6830.55,False
43,1,2010-04-30,6249.87,False
43,1,2010-05-07,6546.98,False
43,1,2010-05-14,6945.89,False
43,1,2010-05-21,7014.53,False
43,1,2010-05-28,5945.37,False
43,1,2010-06-04,6605.66,False
43,1,2010-06-11,6215.42,False
43,1,2010-06-18,6476.19,False
43,1,2010-06-25,6371.12,False
43,1,2010-07-02,5714.83,False
43,1,2010-07-09,6126.18,False
43,1,2010-07-16,6353.92,False
43,1,2010-07-23,6475.21,False
43,1,2010-07-30,5580.75,False
43,1,2010-08-06,6228.99,False
43,1,2010-08-13,6397.17,False
43,1,2010-08-20,6282.06,False
43,1,2010-08-27,6006.25,False
43,1,2010-09-03,6043.11,False
43,1,2010-09-10,7270.24,True
43,1,2010-09-17,8746.49,False
43,1,2010-09-24,7241.36,False
43,1,2010-10-01,7594.8,False
43,1,2010-10-08,8748.54,False
43,1,2010-10-15,9853.95,False
43,1,2010-10-22,11067.33,False
43,1,2010-10-29,16761.88,False
43,1,2010-11-05,13106.05,False
43,1,2010-11-12,6059.1,False
43,1,2010-11-19,6037.71,False
43,1,2010-11-26,6244.51,True
43,1,2010-12-03,6919.76,False
43,1,2010-12-10,7898.49,False
43,1,2010-12-17,14046.05,False
43,1,2010-12-24,10004.14,False
43,1,2010-12-31,4969.01,True
43,1,2011-01-07,4972.06,False
43,1,2011-01-14,5169.85,False
43,1,2011-01-21,5741.3,False
43,1,2011-01-28,5692.48,False
43,1,2011-02-04,6035.77,False
43,1,2011-02-11,11217.71,True
43,1,2011-02-18,16630.05,False
43,1,2011-02-25,6078.3,False
43,1,2011-03-04,6446.77,False
43,1,2011-03-11,6554.22,False
43,1,2011-03-18,6214.84,False
43,1,2011-03-25,5047.4,False
43,1,2011-04-01,6218.97,False
43,1,2011-04-08,6780.43,False
43,1,2011-04-15,8448.06,False
43,1,2011-04-22,10800.8,False
43,1,2011-04-29,8852.07,False
43,1,2011-05-06,5679.24,False
43,1,2011-05-13,5878.39,False
43,1,2011-05-20,5788.6,False
43,1,2011-05-27,5584.23,False
43,1,2011-06-03,6172.43,False
43,1,2011-06-10,5450.76,False
43,1,2011-06-17,5580.68,False
43,1,2011-06-24,5696.96,False
43,1,2011-07-01,4570.62,False
43,1,2011-07-08,5097.51,False
43,1,2011-07-15,5860.67,False
43,1,2011-07-22,4816.74,False
43,1,2011-07-29,4606.61,False
43,1,2011-08-05,4035.44,False
